id,title,subject,date,label
1,The health department voted to approve a study on sleep and cardiovascular health in Fairview County,Health,"October 13, 2023",REAL
2,Conservation groups updated guidelines regarding updated air quality monitoring in Springfield,Environment,"March 03, 2023",REAL
3,The stock exchange outlines quarterly revenue figures for Oakwood,Business,"February 12, 2024",REAL
4,Report: Aid organizations voted to approve ongoing trade negotiations,World,"May 15, 2025",REAL
5,The software company published findings on a new data privacy framework in Riverside,Technology,"February 17, 2025",REAL
6,The tournament organizers voted to approve the upcoming season schedule in the county,Sports,"July 29, 2025",REAL
7,The CDC voted to approve results from a nutrition survey in the metro area,Health,"January 29, 2024",REAL
8,Report: The manufacturing firm reported a merger agreement,Business,"February 17, 2025",REAL
9,The coaching staff published findings on player transfer negotiations in Fairview County,Sports,"June 30, 2024",REAL
10,Report: An open-source project released data showing improvements to broadband access,Technology,"February 16, 2025",REAL
11,Report: The environmental agency published findings on a new watershed protection plan,Environment,"March 07, 2023",REAL
12,the county: A team of astronomers released data showing a survey of regional biodiversity,Science,"October 06, 2024",REAL
13,Greenville: The foreign ministry began implementing humanitarian aid deliveries,World,"October 13, 2023",REAL
14,Report: The water authority voted to approve a reforestation initiative,Environment,"March 28, 2025",REAL
15,Springfield: An open-source project began implementing a new data privacy framework,Technology,"August 13, 2023",REAL
16,The telecom regulator outlines a security patch for widely used software for Riverside,Technology,"February 27, 2025",REAL
17,Report: Aid organizations voted to approve diplomatic talks scheduled for next week,World,"August 23, 2023",REAL
18,The league commissioner voted to approve updated safety protocols in Lakeview,Sports,"July 18, 2025",REAL
19,Riverside: A national laboratory confirmed a survey of regional biodiversity,Science,"September 03, 2024",REAL
20,The coaching staff outlines ticket pricing for the new season for Springfield,Sports,"October 25, 2024",REAL
21,The hospital network voted to approve a study on sleep and cardiovascular health in Springfield,Health,"May 08, 2024",REAL
22,Lakeview: Diplomats reviewed humanitarian aid deliveries,World,"August 31, 2025",REAL
23,Report: The water authority held a press conference about recovery efforts after recent storms,Environment,"February 16, 2024",REAL
24,Riverside: Team officials reviewed updated safety protocols,Sports,"May 22, 2024",REAL
25,The league commissioner updated guidelines regarding ticket pricing for the new season in Fairview County,Sports,"March 27, 2024",REAL
26,the metro area: The mayor's office reported a new infrastructure funding bill,Politics,"May 26, 2023",REAL
27,the county: The United Nations reviewed humanitarian aid deliveries,World,"August 26, 2025",REAL
28,Report: The streaming service reported the lineup for the fall festival,Entertainment,"June 01, 2025",REAL
29,Report: Festival organizers announced the lineup for the fall festival,Entertainment,"April 04, 2025",REAL
30,The retail chain outlines interest rate projections for the region,Business,"October 15, 2023",REAL
31,Marine biologists released data showing a newly cataloged exoplanet in the region,Science,"July 20, 2023",REAL
32,Conservation groups outlines recovery efforts after recent storms for Lakeview,Environment,"April 12, 2025",REAL
33,Quarterly earnings reports outlines a merger agreement for the district,Business,"January 05, 2023",REAL
34,the state capital: Regional officials held a press conference about diplomatic talks scheduled for next week,World,"September 23, 2025",REAL
35,Report: Geologists announced a survey of regional biodiversity,Science,"May 05, 2023",REAL
36,The parliament reviewed an increase in municipal services funding in Lakeview,Politics,"April 27, 2023",REAL
37,the district: The CDC reported a study on sleep and cardiovascular health,Health,"September 03, 2023",REAL
38,Report: The school board updated guidelines regarding a revised curriculum framework,Education,"December 06, 2025",REAL
39,Greenville: A trade association published findings on a merger agreement,Business,"March 21, 2025",REAL
40,Marine biologists published findings on a newly cataloged exoplanet in Springfield,Science,"July 27, 2025",REAL
41,The environmental agency reviewed a survey of local wildlife populations in Lakeview,Environment,"December 15, 2024",REAL
42,The athletic department confirmed updated safety protocols in Oakwood,Sports,"September 11, 2024",REAL
43,Park officials reported recovery efforts after recent storms in Greenville,Environment,"August 25, 2023",REAL
44,Report: The environmental agency voted to approve a survey of local wildlife populations,Environment,"March 07, 2024",REAL
45,A national laboratory outlines a breakthrough in battery materials for Springfield,Science,"July 09, 2023",REAL
46,the state capital: The city council published findings on changes to the budget proposal,Politics,"June 20, 2024",REAL
47,Aid organizations held a press conference about diplomatic talks scheduled for next week in Springfield,World,"August 18, 2023",REAL
48,An open-source project outlines an update to their cloud infrastructure for Millbrook,Technology,"October 31, 2023",REAL
49,the metro area: The governor published findings on a new infrastructure funding bill,Politics,"March 06, 2024",REAL
50,Millbrook: The hospital network reviewed seasonal flu preparedness measures,Health,"November 13, 2023",REAL
51,A major chipmaker outlines improvements to broadband access for the county,Technology,"November 11, 2024",REAL
52,The manufacturing firm outlines quarterly revenue figures for the district,Business,"March 21, 2023",REAL
53,Quarterly earnings reports published findings on hiring plans for next year in Fairview County,Business,"April 01, 2024",REAL
54,Report: Quarterly earnings reports published findings on hiring plans for next year,Business,"July 25, 2024",REAL
55,Report: Wildlife researchers reviewed a survey of local wildlife populations,Environment,"August 25, 2023",REAL
56,Report: The education department announced a revised curriculum framework,Education,"June 08, 2025",REAL
57,Riverside: Team officials updated guidelines regarding ticket pricing for the new season,Sports,"February 27, 2025",REAL
58,Report: Local election officials announced an increase in municipal services funding,Politics,"February 08, 2024",REAL
59,Report: A clinical trial published findings on results from a nutrition survey,Health,"September 13, 2023",REAL
60,the district: A peer-reviewed study held a press conference about a breakthrough in battery materials,Science,"August 28, 2024",REAL
61,Festival organizers outlines an exhibit opening next month for Millbrook,Entertainment,"September 08, 2024",REAL
62,The governor outlines changes to the budget proposal for the district,Politics,"October 21, 2024",REAL
