id,title,subject,date,label
1,Leaked: A leading pharmaceutical company contains a hidden mind-control chemical,Health,"November 11, 2023",FAKE
2,SHOCKING: The world's richest man is spying on your thoughts through your phone's microphone,Technology,"June 24, 2025",FAKE
3,Leaked: A leading pharmaceutical company is hiding proof that trees are actually robots,Environment,"September 23, 2024",FAKE
4,You Won't Believe It: The government is replacing all teachers with holograms next semester,Education,"February 18, 2024",FAKE
5,SHOCKING: The world's richest man is secretly run by a shadowy group of billionaires,Business,"May 13, 2025",FAKE
6,You Won't Believe It: The world's richest man fixed every game this season using secret signals,Sports,"July 17, 2023",FAKE
7,"BREAKING: The government is being used to read your mind while you sleep, Insiders Say",Technology,"October 31, 2024",FAKE
8,SHOCKING: The space agency faked its bankruptcy to avoid paying taxes,Business,"May 26, 2025",FAKE
9,SHOCKING: A major tech company is printing counterfeit currency in a hidden warehouse,Business,"December 22, 2023",FAKE
10,You Won't Believe It: The government found a player who is secretly 200 years old,Sports,"July 28, 2025",FAKE
11,SHOCKING: A leading pharmaceutical company shows that gravity will disappear next Tuesday,Science,"March 31, 2023",FAKE
12,EXPOSED: A famous university confirmed a secret alien collaboration on its new project,Entertainment,"July 28, 2023",FAKE
13,You Won't Believe It: A famous university is spying on your thoughts through your phone's microphone,Technology,"March 06, 2025",FAKE
14,"BREAKING: A leading pharmaceutical company was designed to replace all human jobs by next year, Insiders Say",Technology,"May 19, 2023",FAKE
15,You Won't Believe It: The space agency confirmed that homework causes psychic powers,Education,"November 12, 2025",FAKE
16,EXPOSED: A national news network is replacing all teachers with holograms next semester,Education,"February 13, 2023",FAKE
17,SHOCKING: The world's richest man confirms that dinosaurs are still alive in a secret jungle,Science,"June 12, 2023",FAKE
18,Leaked: A well-known airline is canceling the championship because of a hidden curse,Sports,"November 07, 2023",FAKE
19,You Won't Believe It: The world's richest man will confiscate all private property next month,Politics,"November 04, 2024",FAKE
20,SHOCKING: A leading pharmaceutical company fixed every game this season using secret signals,Sports,"August 13, 2024",FAKE
21,You Won't Believe It: The national bank banned an entire team for being robots,Sports,"April 21, 2023",FAKE
22,Leaked: The space agency bribed regulators to hide a massive cover-up,Business,"January 11, 2024",FAKE
23,SHOCKING: A major tech company is being replaced by an AI system,Politics,"January 30, 2024",FAKE
24,EXPOSED: The world's richest man has a secret switch that lets it shut down the internet at will,Technology,"December 22, 2023",FAKE
25,Leaked: The world's richest man is planning to replace all employees with clones,Business,"May 22, 2025",FAKE
26,You Won't Believe It: A national news network has a secret switch that lets it shut down the internet at will,Technology,"May 18, 2025",FAKE
27,"BREAKING: A famous university is printing counterfeit currency in a hidden warehouse, Insiders Say",Business,"February 17, 2024",FAKE
28,Leaked: The national bank is a cover for a government tracking chip,Health,"December 10, 2023",FAKE
29,Leaked: A global soda brand confirmed a secret alien collaboration on its new project,Entertainment,"November 16, 2023",FAKE
30,EXPOSED: A popular streaming platform hired actors who are actually clones,Entertainment,"November 09, 2023",FAKE
31,Leaked: A famous university is being used to read your mind while you sleep,Technology,"September 18, 2024",FAKE
32,"BREAKING: A global soda brand confirmed a secret alien collaboration on its new project, Insiders Say",Entertainment,"May 28, 2023",FAKE
33,SHOCKING: The world's richest man staged an entire war using paid actors,World,"January 09, 2023",FAKE
34,"BREAKING: A well-known airline found a player who is secretly 200 years old, Insiders Say",Sports,"March 19, 2025",FAKE
35,SHOCKING: A famous university is secretly controlled by a single family that rules the planet,World,"April 17, 2025",FAKE
36,"BREAKING: The space agency is filming secret propaganda for a hidden government, Insiders Say",Entertainment,"June 12, 2025",FAKE
37,Leaked: A global soda brand found a player who is secretly 200 years old,Sports,"April 29, 2023",FAKE
38,SHOCKING: The world's richest man bribed regulators to hide a massive cover-up,Business,"January 10, 2025",FAKE
39,"BREAKING: A famous university contains a backdoor giving aliens access to your data, Insiders Say",Technology,"October 29, 2023",FAKE
40,SHOCKING: The space agency banned an entire subject for being 'too dangerous',Education,"August 28, 2023",FAKE
41,You Won't Believe It: A popular streaming platform confirmed a secret alien collaboration on its new project,Entertainment,"November 27, 2025",FAKE
42,EXPOSED: A popular streaming platform was designed to replace all human jobs by next year,Technology,"October 22, 2025",FAKE
43,SHOCKING: The space agency faked a celebrity's death for a publicity stunt,Entertainment,"July 02, 2023",FAKE
44,Leaked: The national bank banned an entire subject for being 'too dangerous',Education,"March 05, 2024",FAKE
45,SHOCKING: The government found evidence that the Earth is actually flat,Science,"January 04, 2023",FAKE
46,You Won't Believe It: A global soda brand is using hidden hypnosis techniques in its latest release,Entertainment,"June 01, 2025",FAKE
47,You Won't Believe It: A top hospital chain banned an entire team for being robots,Sports,"September 23, 2025",FAKE
48,"You Won't Believe It: A well-known airline can cure any disease in 24 hours, doctors don't want you to know",Health,"January 16, 2024",FAKE
49,EXPOSED: The world's richest man was designed to replace all human jobs by next year,Technology,"June 21, 2025",FAKE
50,SHOCKING: A major tech company was designed to replace all human jobs by next year,Technology,"February 12, 2025",FAKE
51,Leaked: The national bank contains a hidden mind-control chemical,Health,"September 05, 2025",FAKE
52,EXPOSED: The government contains a hidden mind-control chemical,Health,"January 15, 2023",FAKE
53,"EXPOSED: The world's richest man can cure any disease in 24 hours, doctors don't want you to know",Health,"February 08, 2025",FAKE
54,"BREAKING: A well-known airline confirms that dinosaurs are still alive in a secret jungle, Insiders Say",Science,"May 29, 2025",FAKE
55,Leaked: The national bank banned an entire team for being robots,Sports,"March 27, 2025",FAKE
56,Leaked: The national bank signed a law banning free speech overnight,Politics,"January 07, 2023",FAKE
57,EXPOSED: A national news network is filming secret propaganda for a hidden government,Entertainment,"September 09, 2023",FAKE
58,Leaked: The national bank bribed regulators to hide a massive cover-up,Business,"November 20, 2025",FAKE
